sample,B2M,CD274,CTLA4,HLA-A,HLA-B,HLA-C,PDCD1,PDCD1LG2,TAP1,TAPBP,canType
TCGA-DX-A6BG-01A-11R-A30C-07,13.7469,2.2736,1.9502,10.7084,11.5544,10.7617,2.2095,4.0702,6.1731,6.5659,SARC
TCGA-DX-A6BH-01A-12R-A30C-07,12.8487,0.6083,0.7657,9.364,9.7044,9.319,0.7536,2.2238,4.6579,5.191,SARC
TCGA-DX-A6YQ-01A-12R-A33J-07,14.4018,3.2787,1.8336,10.96,12.4798,11.6347,2.6827,4.7468,8.0191,7.0164,SARC
TCGA-DX-A6YR-01A-33R-A355-07,12.8097,0.9588,0.5667,9.6221,10.438,8.9955,0.4256,2.2503,5.4739,5.9417,SARC
TCGA-DX-A6YS-01A-12R-A355-07,12.1106,0.3666,0.5128,8.6093,8.485,8.3203,0.3734,1.013,4.533,5.5019,SARC
TCGA-DX-A6YT-01A-21R-A355-07,13.2504,1.5942,0.2932,9.9341,10.6222,9.9369,0.4127,3.0117,6.0869,6.7226,SARC
TCGA-DX-A6YU-01A-12R-A33J-07,14.418,2.1703,2.3895,11.1777,12.1542,10.9801,3.0122,4.3847,7.4091,6.9892,SARC
TCGA-DX-A6YV-01A-12R-A355-07,12.6488,3.3506,0.2249,10.2337,10.2889,9.8282,0.094,4.9153,5.8934,6.8108,SARC
TCGA-DX-A6YX-01A-11R-A41I-07,13.5783,2.3517,0.3768,9.4939,9.2452,8.7117,0.4419,2.9125,5.4926,5.5149,SARC
TCGA-DX-A6YZ-01A-12R-A355-07,13.586,0.8869,1.262,8.8005,10.7295,9.6139,0.8047,1.8957,5.4108,6.0332,SARC
TCGA-DX-A6Z0-01A-13R-A36F-07,12.9055,0.8478,1.0407,8.7623,9.6361,8.7063,1.526,1.6746,5.0207,5.1955,SARC
TCGA-DX-A6Z2-01A-12R-A36F-07,13.7693,2.1029,1.9834,10.0921,10.9552,10.2544,2.1304,2.9535,5.5485,5.8004,SARC
TCGA-DX-A7EF-01A-11R-A33J-07,11.3681,0.5236,0.6626,9.4534,9.8883,9.1586,0,2.9739,5.572,5.6706,SARC
TCGA-DX-A7EI-01A-11R-A33J-07,11.9513,0.2442,1.0162,7.7642,9.403,9.4654,0.517,1.6398,4.8259,4.6236,SARC
TCGA-DX-A7EL-01A-12R-A36F-07,14.006,1.8819,1.9816,11.1069,11.8141,11.2536,3.4099,3.1293,6.9441,6.2246,SARC
TCGA-DX-A7EM-01A-11R-A36F-07,13.6418,1.6953,1.1889,10.3539,10.7624,9.8809,1.591,3.1601,6.6808,6.2673,SARC
TCGA-DX-A7EN-01A-11R-A39D-07,13.1879,2.2253,0.1553,10.9845,11.5104,10.7856,0,1.6078,6.1861,6.3932,SARC
TCGA-DX-A7EO-01A-11R-A36F-07,8.7993,0.3388,1.7057,7.3089,6.585,7.6088,2.2612,0.1831,3.9283,5.2358,SARC
