sample,weakBinder,canType
TCGA-BT-A42E-01,14226,BLCA
TCGA-FJ-A3ZE-01,32313,BLCA
TCGA-DK-A6B6-01,6023,BLCA
TCGA-GU-A762-01,756,BLCA
TCGA-4Z-AA7O-01,6810,BLCA
TCGA-G2-A2ES-01,1113,BLCA
TCGA-UY-A8OB-01,1377,BLCA
TCGA-E7-A519-01,1835,BLCA
TCGA-DK-A3IL-01,11678,BLCA
TCGA-ZF-AA52-01,5883,BLCA
TCGA-DK-A6B2-01,1882,BLCA
TCGA-E7-A97P-01,1186,BLCA
TCGA-XF-A9SP-01,2920,BLCA
TCGA-ZF-A9R2-01,2934,BLCA
TCGA-FD-A3SR-01,6270,BLCA
TCGA-4Z-AA81-01,2092,BLCA
TCGA-BT-A20Q-01,2344,BLCA
TCGA-ZF-AA4R-01,8144,BLCA
TCGA-FD-A43N-01,17305,BLCA
TCGA-XF-A9T6-01,1783,BLCA
TCGA-CF-A47W-01,3604,BLCA
TCGA-GU-A766-01,2403,BLCA
TCGA-DK-AA6L-01,15999,BLCA
TCGA-XF-AAMZ-01,5550,BLCA
TCGA-FD-A62N-01,1112,BLCA
TCGA-FD-A3SL-01,731,BLCA
TCGA-CF-A27C-01,27814,BLCA
TCGA-DK-A3X1-01,4028,BLCA
TCGA-BT-A20R-01,2578,BLCA
TCGA-GV-A3QG-01,3920,BLCA
TCGA-CU-A0YR-01,1479,BLCA
TCGA-BT-A20O-01,2896,BLCA
TCGA-DK-A1A3-01,612,BLCA
TCGA-K4-A4AB-01,2636,BLCA
TCGA-5N-A9KM-01,4870,BLCA
TCGA-UY-A78K-01,9895,BLCA
TCGA-ZF-A9R9-01,19709,BLCA
TCGA-K4-A5RI-01,1739,BLCA
TCGA-ZF-A9R0-01,26444,BLCA
TCGA-DK-A6AW-01,9183,BLCA
TCGA-XF-A9SV-01,7918,BLCA
TCGA-UY-A9PB-01,3631,BLCA
TCGA-XF-A8HH-01,19722,BLCA
TCGA-FD-A3SM-01,3375,BLCA
TCGA-BL-A5ZZ-01,1221,BLCA
TCGA-C4-A0F6-01,2013,BLCA
TCGA-K4-A83P-01,5116,BLCA
TCGA-XF-AAN2-01,7595,BLCA
TCGA-GC-A3OO-01,2014,BLCA
TCGA-DK-A2I6-01,1954,BLCA
TCGA-FD-A3B8-01,777,BLCA
TCGA-E7-A5KF-01,10838,BLCA
TCGA-HQ-A5ND-01,3215,BLCA
TCGA-ZF-A9R3-01,15169,BLCA
TCGA-GC-A6I3-01,5871,BLCA
TCGA-DK-A3IQ-01,2296,BLCA
TCGA-BT-A2LB-01,3181,BLCA
TCGA-DK-A6B0-01,2101,BLCA
TCGA-DK-AA74-01,817,BLCA
TCGA-XF-AAMQ-01,4911,BLCA
TCGA-E7-A8O8-01,6871,BLCA
TCGA-DK-A6B1-01,9387,BLCA
TCGA-K4-A5RH-01,1231,BLCA
TCGA-E7-A7XN-01,2127,BLCA
TCGA-2F-A9KR-01,28450,BLCA
TCGA-DK-AA6T-01,6869,BLCA
TCGA-2F-A9KQ-01,11836,BLCA
TCGA-BT-A20X-01,1557,BLCA
TCGA-BT-A3PH-01,1743,BLCA
TCGA-E7-A3X6-01,4270,BLCA
TCGA-YF-AA3L-01,4587,BLCA
TCGA-DK-A1AG-01,11255,BLCA
TCGA-BL-A3JM-01,6434,BLCA
TCGA-FD-A3SP-01,1622,BLCA
TCGA-FD-A5BY-01,1658,BLCA
TCGA-DK-A1A7-01,3310,BLCA
TCGA-XF-A9T8-01,3780,BLCA
TCGA-DK-AA77-01,4821,BLCA
TCGA-XF-A8HI-01,23596,BLCA
TCGA-G2-AA3C-01,3803,BLCA
TCGA-G2-A2EO-01,1588,BLCA
TCGA-C4-A0F0-01,287,BLCA
TCGA-DK-A6B5-01,6129,BLCA
TCGA-C4-A0EZ-01,10988,BLCA
TCGA-GC-A3BM-01,6121,BLCA
TCGA-K4-A4AC-01,2737,BLCA
TCGA-E7-A97Q-01,35788,BLCA
TCGA-G2-A2EJ-01,1923,BLCA
TCGA-SY-A9G0-01,11083,BLCA
TCGA-ZF-A9R7-01,30554,BLCA
TCGA-XF-AAN7-01,3261,BLCA
TCGA-ZF-A9R5-01,30469,BLCA
TCGA-DK-A3IM-01,1892,BLCA
TCGA-XF-A9T5-01,5550,BLCA
TCGA-ZF-AA53-01,1551,BLCA
TCGA-XF-AAMY-01,8890,BLCA
TCGA-HQ-A2OF-01,1649,BLCA
TCGA-KQ-A41R-01,11041,BLCA
TCGA-K4-AAQO-01,3243,BLCA
TCGA-FD-A43S-01,3013,BLCA
TCGA-YC-A8S6-01,9009,BLCA
TCGA-E7-A4XJ-01,18521,BLCA
TCGA-FD-A3NA-01,1912,BLCA
TCGA-E7-A6MD-01,8743,BLCA
TCGA-K4-A3WS-01,17311,BLCA
TCGA-DK-AA6P-01,12205,BLCA
TCGA-DK-A3IU-01,1364,BLCA
TCGA-GD-A2C5-01,8955,BLCA
TCGA-DK-A1AE-01,2758,BLCA
TCGA-ZF-A9R1-01,7012,BLCA
TCGA-C4-A0F7-01,1951,BLCA
TCGA-CF-A1HR-01,3047,BLCA
TCGA-KQ-A41Q-01,12869,BLCA
TCGA-E5-A4TZ-01,9799,BLCA
TCGA-4Z-AA80-01,5508,BLCA
TCGA-ZF-AA54-01,1993,BLCA
TCGA-FJ-A871-01,8189,BLCA
TCGA-FD-A6TI-01,2326,BLCA
