HLA_list,ALL,AFR,AMR,EAS,EUR,SAS
HLA-C14:42,2e-04,NA,NA,9e-04,NA,NA
HLA-C15:02,0.0351,0.0014,0.0335,0.0224,0.0246,0.1031
HLA-C15:05,0.0128,0.019,0.0107,0.0187,0.0047,0.0083
HLA-C15:13,4e-04,NA,0.0013,NA,9e-04,NA
HLA-C15:22,2e-04,7e-04,NA,NA,NA,NA
HLA-C16:01,0.0473,0.1173,0.055,NA,0.0444,NA
HLA-C16:02,0.0071,NA,0.0054,9e-04,0.0038,0.0267
HLA-C16:04,7e-04,NA,0.0013,NA,0.0028,NA
HLA-C17:01,0.0212,0.0702,0.0121,NA,0.0047,NA
HLA-C17:03,0.0037,0.0063,0.004,NA,0.0066,9e-04
HLA-C18:01,0.0026,0.0098,NA,NA,NA,NA
HLA-C18:02,0.0048,0.0169,0.0013,NA,9e-04,NA
HLA-C18:04,2e-04,7e-04,NA,NA,NA,NA
